,Clan,Generation,Childer,Name,Link,Sire,Sire_Link
28,Lasombra,4th,Marcus Vitel (31 CE),Sybil,https://whitewolf.fandom.com/wiki/Sybil,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
29,Lasombra,7th,"['Aleksandr Malenkov (1868 CE)', 'Sierra Van Burrace (1998 CE)', 'Some Childers']",Talley,https://whitewolf.fandom.com/wiki/Talley,Leopold Valdemar,https://whitewolf.fandom.com/wiki/Leopold_Valdemar
30,Lasombra,8th,Mohammed Al-Muthlim (1963),Tarantine,https://whitewolf.fandom.com/wiki/Tarantine,,
31,Lasombra,10th,,Henry Taylor,https://whitewolf.fandom.com/wiki/Henry_Taylor,Mohammed Al-Muthlim,https://whitewolf.fandom.com/wiki/Mohammed_Al-Muthlim
32,Lasombra,4th,,Tepelit,https://whitewolf.fandom.com/wiki/Tepelit,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
33,Lasombra,4th,Nahir,Tersa,https://whitewolf.fandom.com/wiki/Tersa,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
34,Lasombra,,,Tharmas,https://whitewolf.fandom.com/wiki/Tharmas,,
35,Lasombra antitribu,?,,Aludian Thex,https://whitewolf.fandom.com/wiki/Aludian_Thex,Unknown,
36,Lasombra,unknown,,Timofiev,https://whitewolf.fandom.com/wiki/Timofiev,,
37,Lasombra,4th,several unnamed,Tubalcain,https://whitewolf.fandom.com/wiki/Tubalcain,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
38,Lasombra,6th,Talley (1355),Leopold Valdemar,https://whitewolf.fandom.com/wiki/Leopold_Valdemar,Tercio Bravo[1],https://whitewolf.fandom.com/wiki/Tercio_Bravo
39,Lasombra,8th,,Carolina Valez,https://whitewolf.fandom.com/wiki/Carolina_Valez,Tobias Smith,https://whitewolf.fandom.com/wiki/Tobias_Smith
40,Lasombra,,,Antonio Vallejo,https://whitewolf.fandom.com/wiki/Antonio_Vallejo,,
41,Lasombra,8th,,Sierra Van Burrace,https://whitewolf.fandom.com/wiki/Sierra_Van_Burrace,Talley,https://whitewolf.fandom.com/wiki/Talley
42,Lasombra,7th,Black Wallace,Vauxhall,https://whitewolf.fandom.com/wiki/Vauxhall,,
43,Lasombra or Ventrue,7th,Mireia Subira,Ramon Vera,https://whitewolf.fandom.com/wiki/Ramon_Vera,,
44,Lasombra,10th,,Almira Veracruz,https://whitewolf.fandom.com/wiki/Almira_Veracruz,,
45,Lasombra,"['12th (Originally)', '11th (First Diablerie)', '10th (Through Diablerie)', '9th (Through Diablerie)', '8th (Through diablerie)']",,Virginie,https://whitewolf.fandom.com/wiki/Virginie,Alison,https://whitewolf.fandom.com/wiki/Alison
46,Lasombra antitribu,5th,"['His ""daughters""\nMonica Black (1970)\nMisery (1962)[1]', 'Monica Black (1970)', 'Misery (1962)[1]']",Marcus Vitel,https://whitewolf.fandom.com/wiki/Marcus_Vitel,Sybil,https://whitewolf.fandom.com/wiki/Sybil
47,Lasombra,unknown,,Lisette Vizquel,https://whitewolf.fandom.com/wiki/Lisette_Vizquel,unknown,
48,Lasombra,"unknown, possibly 6th (see below)",,Norbert von Xanten,https://whitewolf.fandom.com/wiki/Norbert_von_Xanten,Gotzon,https://whitewolf.fandom.com/wiki/Gotzon
49,Lasombra,11th,,Braden White,https://whitewolf.fandom.com/wiki/Braden_White,Amelia di Carlo,https://whitewolf.fandom.com/wiki/Amelia_di_Carlo
50,,11th,,Marcus Williams,https://whitewolf.fandom.com/wiki/Marcus_Williams,José Chavez,https://whitewolf.fandom.com/wiki/Jos%C3%A9_Chavez
51,Lasombra,11th,Clova Haines,Hector Wilson,https://whitewolf.fandom.com/wiki/Hector_Wilson,,
52,Lasombra,"4th (Possibly through diablerie)
5th (Originally?)",,Xarca,https://whitewolf.fandom.com/wiki/Xarca,Unknown,
53,Lasombra,5th,['Marcus Licinius'],Zarathustra,https://whitewolf.fandom.com/wiki/Zarathustra,Unknown,
54,Lasombra,,,Zinnridi,https://whitewolf.fandom.com/wiki/Zinnridi,,
