,Clan,Generation,Sire,Sire_Link,Childer,Name,Link
26,Nosferatu (Nictuku),6th,Androvikus,https://whitewolf.fandom.com/wiki/Androvikus,"['Sradish', 'Reremouse', 'Vole']",Rasalon,https://whitewolf.fandom.com/wiki/Rasalon
27,Nosferatu,8th,Parovich,https://whitewolf.fandom.com/wiki/Parovich,,Raul (Nosferatu),https://whitewolf.fandom.com/wiki/Raul_(Nosferatu)
28,Nosferatu,unknown,,,A follower,Fra' Raymond,https://whitewolf.fandom.com/wiki/Fra%27_Raymond
29,Nosferatu,7th,Rasalon,https://whitewolf.fandom.com/wiki/Rasalon,Modian,Reremouse,https://whitewolf.fandom.com/wiki/Reremouse
30,Nosferatu antitribu,unknown (most likely 9th[1]),Roderigo al-Dakhil (adopted),https://whitewolf.fandom.com/wiki/Roderigo_al-Dakhil,,Reveka,https://whitewolf.fandom.com/wiki/Reveka
31,Nosferatu,,Unknown,,,Lucianna Ricci,https://whitewolf.fandom.com/wiki/Lucianna_Ricci
32,Nosferatu,9th,Lawrence Meeks,https://whitewolf.fandom.com/wiki/Lawrence_Meeks,,Roger (Nosferatu),https://whitewolf.fandom.com/wiki/Roger_(Nosferatu)
33,Nosferatu,unknown,,,,Rolph,https://whitewolf.fandom.com/wiki/Rolph
34,Nosferatu,possibly 7th[1],,,,Benjamin Rose,https://whitewolf.fandom.com/wiki/Benjamin_Rose
35,Nosferatu,,,,,Meyer Amschel Rothschild,https://whitewolf.fandom.com/wiki/Meyer_Amschel_Rothschild
36,Nosferatu,10th,Kamilah,https://whitewolf.fandom.com/wiki/Kamilah,,Rowan,https://whitewolf.fandom.com/wiki/Rowan
37,Nosferatu,unknown,,,,Rubianna,https://whitewolf.fandom.com/wiki/Rubianna
38,Nosferatu,7th,Khalid,https://whitewolf.fandom.com/wiki/Khalid_al-Rashid,,Jurgis Rudkus,https://whitewolf.fandom.com/wiki/Jurgis_Rudkus
39,Nosferatu,9th,,,,Ruxandra,https://whitewolf.fandom.com/wiki/Ruxandra
40,Nosferatu,6th,,,Rabbat (1237),Sabanu,https://whitewolf.fandom.com/wiki/Sabanu
41,Nosferatu,11th,Antonius Heerenven,https://whitewolf.fandom.com/wiki/Antonius_Heerenven,,Herschel Salomon,https://whitewolf.fandom.com/wiki/Herschel_Salomon
42,Nosferatu,9th,Cedrick Calhoun,https://whitewolf.fandom.com/wiki/Cedrick_Calhoun,,Salt,https://whitewolf.fandom.com/wiki/Salt
43,Nosferatu,11th,Unknown,,,Shafiqah,https://whitewolf.fandom.com/wiki/Shafiqah
44,Nosferatu (Hajj),8th,Ibn Ja'far,https://whitewolf.fandom.com/wiki/Ibn_Ja%27far,,Shahid,https://whitewolf.fandom.com/wiki/Shahid
45,Nosferatu,6th,Angiwar,https://whitewolf.fandom.com/wiki/Angiwar,,Ahjan Shakkar,https://whitewolf.fandom.com/wiki/Ahjan_Shakkar
46,Nosferatu,9th,Kristian,https://whitewolf.fandom.com/wiki/Kristian,,Mort Sheaffer,https://whitewolf.fandom.com/wiki/Mort_Sheaffer
47,Nosferatu,8th,,,Lukas (1121 CE),Sigmund the Leper,https://whitewolf.fandom.com/wiki/Sigmund_the_Leper
48,Nosferatu antitribu,possibly 9th or 10th,,,,Skulk,https://whitewolf.fandom.com/wiki/Skulk
49,Nosferatu antitribu,,,,,Smallpox Griet,https://whitewolf.fandom.com/wiki/Smallpox_Griet
50,Nosferatu,12th,,,,Tommy Smith,https://whitewolf.fandom.com/wiki/Tommy_Smith
51,Nosferatu,7th,Rasalon,https://whitewolf.fandom.com/wiki/Rasalon,,Sradish,https://whitewolf.fandom.com/wiki/Sradish
52,Nosferatu,9th,Osric,https://whitewolf.fandom.com/wiki/Osric,,Prudence Stone,https://whitewolf.fandom.com/wiki/Prudence_Stone
53,Nosferatu antitribu,6th,Alexius,https://whitewolf.fandom.com/wiki/Alexius,['Gunther'],Strohmann,https://whitewolf.fandom.com/wiki/Strohmann
54,Nosferatu,6th,unknown,,,Subitai,https://whitewolf.fandom.com/wiki/Subitai
55,Nosferatu,9th,Richard de Worde,https://whitewolf.fandom.com/wiki/Richard_de_Worde,,Harold Tanner,https://whitewolf.fandom.com/wiki/Harold_Tanner
56,Nosferatu antitribu,unknown,Unknown,,,Tarbaby Jack,https://whitewolf.fandom.com/wiki/Tarbaby_Jack
57,Nosferatu (Hajj),5th,The Matriarch (possibly),https://whitewolf.fandom.com/wiki/Matriarch_(VTM),"['Mazen ibn Tarique', ""Ja'far al-Medinat""]",Tarique,https://whitewolf.fandom.com/wiki/Tarique
58,Nosferatu antitribu,8th,Gerhardt,,,Teresita,https://whitewolf.fandom.com/wiki/Teresita
59,Nosferatu,6th,Unknown,,,Thaddeus,https://whitewolf.fandom.com/wiki/Thaddeus
60,Nosferatu,possibly 8th or 9th,,,,The Dowager,https://whitewolf.fandom.com/wiki/The_Dowager
61,Nosferatu,unknown,,,,Argus Theophilides,https://whitewolf.fandom.com/wiki/Argus_Theophilides
62,Nosferatu,9th,Richard de Worde,https://whitewolf.fandom.com/wiki/Richard_de_Worde,,Thomas the Rat,https://whitewolf.fandom.com/wiki/Thomas_the_Rat
63,Nosferatu antitribu,12th,Unknown,,El Diablo Verde,El Tiburón,https://whitewolf.fandom.com/wiki/El_Tibur%C3%B3n
64,Nosferatu,10th,Oswald,https://whitewolf.fandom.com/wiki/Oswald,,Toby,https://whitewolf.fandom.com/wiki/Toby
65,Nosferatu antitribu,,,,,Tock,https://whitewolf.fandom.com/wiki/Tock
66,Nosferatu,unknown,,,,Michael Tolliver,https://whitewolf.fandom.com/wiki/Michael_Tolliver
67,Nosferatu,7th (possibly through diablerie),Unknown,,Cedrick Calhoun,Tommy,https://whitewolf.fandom.com/wiki/Tommy
68,Nosferatu,5th,The Matriarch (presumed),https://whitewolf.fandom.com/wiki/Medusa_(VTM),Powell,Trajan,https://whitewolf.fandom.com/wiki/Trajan
69,Nosferatu,11th,,,,An Tran,https://whitewolf.fandom.com/wiki/An_Tran
70,Nosferatu,8th,Unknown,,,Tub of Flesh,https://whitewolf.fandom.com/wiki/Tub_of_Flesh
71,Nosferatu,,,,,Bertram Tung,https://whitewolf.fandom.com/wiki/Bertram_Tung
72,Nosferatu,unknown,,,,Umberto,https://whitewolf.fandom.com/wiki/Umberto
73,Nosferatu,9th,Radcliffe with Teeth,https://whitewolf.fandom.com/wiki/Radcliffe_with_Teeth,,Uncle Smelly,https://whitewolf.fandom.com/wiki/Uncle_Smelly
74,Nosferatu,5th,Medusa,https://whitewolf.fandom.com/wiki/Medusa_(VTM),Phantomas,Urgahalt,https://whitewolf.fandom.com/wiki/Urgahalt
75,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,,Vasilisa,https://whitewolf.fandom.com/wiki/Vasilisa
76,Nosferatu,6th,,,Malachite (842 CE),Vasilli,https://whitewolf.fandom.com/wiki/Vasilli
77,Nosferatu,10th,possibly Cicatriz,https://whitewolf.fandom.com/wiki/Cicatriz,Malloc (1998),Estaban Vasquez,https://whitewolf.fandom.com/wiki/Estaban_Vasquez
78,Nosferatu,possibly 8th or 9th,,,,Nikolaus Vermeulen,https://whitewolf.fandom.com/wiki/Nikolaus_Vermeulen
79,Nosferatu,6th,,,,Matron Violetta,https://whitewolf.fandom.com/wiki/Matron_Violetta
80,Nosferatu,7th,,,Nathaniel Bordruff (1926),Virginia (Nosferatu),https://whitewolf.fandom.com/wiki/Virginia_(Nosferatu)
81,Nosferatu,7th,Rasalon,https://whitewolf.fandom.com/wiki/Rasalon,Selene Iliades,Vole,https://whitewolf.fandom.com/wiki/Vole
82,Nosferatu,,,,,Volker,https://whitewolf.fandom.com/wiki/Volker
83,Nosferatu,6th,unknown,,Federico DiPadua (adopted),Josef von Bauren,https://whitewolf.fandom.com/wiki/Josef_von_Bauren
84,Nosferatu,5th,Baba Yaga,https://whitewolf.fandom.com/wiki/Baba_Yaga,,Sergei Voshkov,https://whitewolf.fandom.com/wiki/Sergei_Voshkov
85,Nosferatu,7th,Khalid,https://whitewolf.fandom.com/wiki/Khalid_al-Rashid,,Peter Walenski,https://whitewolf.fandom.com/wiki/Peter_Walenski
86,Nosferatu,7th,Khalid Al-Rashid,https://whitewolf.fandom.com/wiki/Khalid_Al-Rashid,,Tammy Walenski,https://whitewolf.fandom.com/wiki/Tammy_Walenski
87,Nosferatu,5th,Baba Yaga,https://whitewolf.fandom.com/wiki/Baba_Yaga,Ellison Humboldt,Melitta Wallenberg,https://whitewolf.fandom.com/wiki/Melitta_Wallenberg
88,Nosferatu,7th,Powell,https://whitewolf.fandom.com/wiki/Powell,"['Maryann Fletcher (1614)', 'Lawrence Meeks (1769)', 'Kurt Densch (1913)']",Stanford Warwick,https://whitewolf.fandom.com/wiki/Stanford_Warwick
89,Nosferatu,9th,Cedrick Calhoun,https://whitewolf.fandom.com/wiki/Cedrick_Calhoun,,Wauneka,https://whitewolf.fandom.com/wiki/Wauneka
90,Nosferatu,,,,,Wid,https://whitewolf.fandom.com/wiki/Wid
91,Nosferatu or Hecata,12th,,,,Dexter Wilkins,https://whitewolf.fandom.com/wiki/Dexter_Wilkins
92,Nosferatu or Salubri,12th,,,,Carol Winfield,https://whitewolf.fandom.com/wiki/Carol_Winfield
93,Nosferatu,11th,Amelia,https://whitewolf.fandom.com/wiki/Amelia_(Nosferatu),,Wolfgang (Nosferatu),https://whitewolf.fandom.com/wiki/Wolfgang_(Nosferatu)
94,Nosferatu,,,,,Xochitl,https://whitewolf.fandom.com/wiki/Xochitl
95,Nosferatu,6th,,,Josef Zvi,Yehuda,https://whitewolf.fandom.com/wiki/Yehuda
96,Nosferatu,4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,['Cleopatra'],Yima,https://whitewolf.fandom.com/wiki/Yima
97,Nosferatu,Unknown,Unknown,,,Zacchaeus,https://whitewolf.fandom.com/wiki/Zacchaeus
98,Nosferatu,7th,Hannibal,https://whitewolf.fandom.com/wiki/Hannibal_(Nosferatu),"Marusca
Several",Zelios,https://whitewolf.fandom.com/wiki/Zelios
99,Nosferatu,7th,Yehuda,https://whitewolf.fandom.com/wiki/Yehuda,Many unknown,Josef Zvi,https://whitewolf.fandom.com/wiki/Josef_Zvi
