,Clan,Generation,Sire,Name,Link,Childer
62,Toreador,10th,Sophia Agriolas,James Royston,https://whitewolf.fandom.com/wiki/James_Royston,
63,Toreador,8th,Samantha Merrain,Erin Runningbear,https://whitewolf.fandom.com/wiki/Erin_Runningbear,
64,Toreador,8th,Unknown,Alexandra Ruthven,https://whitewolf.fandom.com/wiki/Alexandra_Ruthven,Lily
65,Toreador,,,Kent Alan Ryan,https://whitewolf.fandom.com/wiki/Kent_Alan_Ryan,Patty (ghoul)
66,Toreador antitribu,9th,Yitzhak,Sabrina,https://whitewolf.fandom.com/wiki/Sabrina,
67,Toreador,5th,Beshter,Salianna,https://whitewolf.fandom.com/wiki/Salianna,"['Charles de Poitiers', 'Lorraine', 'Robert Durand', 'Hélène la Juste (957 CE)', 'Jeanne (1244)']"
68,Toreador,7th,Herodian,Samuel,https://whitewolf.fandom.com/wiki/Samuel,
69,Toreador,8th,Margaret d'Hautmont,Anthony Sebastian Sands,https://whitewolf.fandom.com/wiki/Anthony_Sebastian_Sands,
70,Toreador antitribu,9th,,Dominique Santo Paulo,https://whitewolf.fandom.com/wiki/Dominique_Santo_Paulo,Mercy (1899)
71,Toreador,,,Lianna Seabright,https://whitewolf.fandom.com/wiki/Lianna_Seabright,
72,Toreador,,Sophie Langley,Benoit Segal,https://whitewolf.fandom.com/wiki/Benoit_Segal,
73,Toreador,5th,,Allanyan Serata,https://whitewolf.fandom.com/wiki/Allanyan_Serata,Stefan
74,Toreador or Banu Haqim,12th,,Mateo Serrano,https://whitewolf.fandom.com/wiki/Mateo_Serrano,
75,Toreador,possibly 11th to 13th,,Nik Sikko,https://whitewolf.fandom.com/wiki/Nik_Sikko,
76,Toreador,12th,Angelique Stravinsky,Wayland Smith,https://whitewolf.fandom.com/wiki/Wayland_Smith,
77,Toreador,9th,,Sondra,https://whitewolf.fandom.com/wiki/Sondra,"['Henry Johnson (1858)', 'Barth (1934)']"
78,Toreador,"['7th (originally)', '6th (through diablerie)']",Unknown,Sophoniba,https://whitewolf.fandom.com/wiki/Sophoniba,
79,Toreador,9th,"Hathaway, “The Menshevik”",Karyn Stanislava,https://whitewolf.fandom.com/wiki/Karyn_Stanislava,
80,Toreador,12th,unknown,Roland Stoltzfus,https://whitewolf.fandom.com/wiki/Roland_Stoltzfus,
81,Toreador,,,Janet Stoughton,https://whitewolf.fandom.com/wiki/Janet_Stoughton,
82,Toreador,,,William Stoughton,https://whitewolf.fandom.com/wiki/William_Stoughton,
83,Toreador,11th,Dmitri Karolev,Angelique Stravinsky,https://whitewolf.fandom.com/wiki/Angelique_Stravinsky,Wayland Smith
84,Toreador,7th,Annabelle Triabell,Bret Stryker,https://whitewolf.fandom.com/wiki/Bret_Stryker,"['Helene Milliner', 'Several']"
85,Toreador,[],Andrew Stone (Destroyed),David Taliaferro,https://whitewolf.fandom.com/wiki/David_Taliaferro,Cynthia Razor
86,Toreador,4th,Toreador Antediluvian,Tammuz (VTM),https://whitewolf.fandom.com/wiki/Tammuz_(VTM),
87,Toreador,9th,Natasha,Tamoszius,https://whitewolf.fandom.com/wiki/Tamoszius,"['Yvette Krupinski (1891)', 'Kathy Glens (1971)']"
88,Toreador,7th,Annabelle Triabell,Tarmonay,https://whitewolf.fandom.com/wiki/Tarmonay,McPhee
89,Toreador antitribu,10th/11th,Creamy Jade,Tears,https://whitewolf.fandom.com/wiki/Tears,
90,Toreador,6th,Menippus,Theophano (Toreador),https://whitewolf.fandom.com/wiki/Theophano_(Toreador),Katherine of Montpellier
91,Toreador,,,Théodran de Savara,https://whitewolf.fandom.com/wiki/Th%C3%A9odran_de_Savara,
92,Toreador,11th,,Reiner Tischler,https://whitewolf.fandom.com/wiki/Reiner_Tischler,Latebra Uberto Ascheri (2016)
93,Toreador,3rd,Enoch (presumed),Toreador Antediluvian,https://whitewolf.fandom.com/wiki/Toreador_Antediluvian,"['Minos', 'Apollo', 'Tammuz [3]', 'Amarantha', 'Beshter/Michael', 'Iontius', 'Minotaur [4]', 'Callisti y Castillo', 'Amphion', 'Ceri']"
94,Toreador,10th,,Torrence,https://whitewolf.fandom.com/wiki/Torrence,Victoria Longwood (1984)
95,Toreador,,,Astrid Trevelli,https://whitewolf.fandom.com/wiki/Astrid_Trevelli,
96,Toreador,9th,Geneveve Orseau,Trevor (VTM),https://whitewolf.fandom.com/wiki/Trevor_(VTM),
97,Toreador,6th,María,Annabelle Triabell,https://whitewolf.fandom.com/wiki/Annabelle_Triabell,"['Elsa Linden (1791)', 'Modius (1806)', 'Tarmonay (1929)', 'Sharon Payne (1929)', 'Sophia Ayes (1981)', 'Bret Stryker (1983)']"
98,Toreador,10th,,Joseph Triebarch,https://whitewolf.fandom.com/wiki/Joseph_Triebarch,Daphne (1921)
99,Toreador,unknown,,Tristan,https://whitewolf.fandom.com/wiki/Tristan,
100,Toreador,,Thomasina Payne,Tru,https://whitewolf.fandom.com/wiki/Tru,
101,Toreador,7th,Madame Guil,Michael Unther,https://whitewolf.fandom.com/wiki/Michael_Unther,
102,Toreador,6th,,Carel vanden Driessche,https://whitewolf.fandom.com/wiki/Carel_vanden_Driessche,
103,Toreador,5th,Mi-ka-il (possibly),Vashtai,https://whitewolf.fandom.com/wiki/Vashtai,Nakshidil
104,Toreador,,,Vasily,https://whitewolf.fandom.com/wiki/Vasily,Gaspard
105,Toreador,possibly 7th to 9th,,Catalina Vega,https://whitewolf.fandom.com/wiki/Catalina_Vega,
106,Toreador,Unknown,Isaac Abrams (adoptive),Velvet Velour,https://whitewolf.fandom.com/wiki/Velvet_Velour,
107,Possibly Brujah or Toreador,,,Vick,https://whitewolf.fandom.com/wiki/Vick,
108,Toreador,5th,Helena,François Villon,https://whitewolf.fandom.com/wiki/Fran%C3%A7ois_Villon,"['Violetta (1250)', 'Calabris (1595)', 'François Dumas']"
109,Toreador,6th,François Villon,Violetta,https://whitewolf.fandom.com/wiki/Violetta,
110,Toreador,5th,Helena,Philippe Vollgirre,https://whitewolf.fandom.com/wiki/Philippe_Vollgirre,[]
111,Toreador,7th,Romana Theja,Nikolai von Tresckow,https://whitewolf.fandom.com/wiki/Nikolai_von_Tresckow,
112,Toreador,10th,Anne Hyatt,Chas Voyager,https://whitewolf.fandom.com/wiki/Chas_Voyager,Rachel Evans
113,Toreador,9th,Antoinette,Hans Vroenik,https://whitewolf.fandom.com/wiki/Hans_Vroenik,
114,Toreador,,,Véronique La Cruelle,https://whitewolf.fandom.com/wiki/V%C3%A9ronique_La_Cruelle,
115,Toreador,6th,Unknown,Wenceslas,https://whitewolf.fandom.com/wiki/Wenceslas,possibly a few
116,Toreador,7th,Unknown,Edward Williams,https://whitewolf.fandom.com/wiki/Edward_Williams,"['Duke', 'Karen Mauve', 'Leslie Boothe']"
117,Toreador antitribu,8th,Ignace,Yitzhak,https://whitewolf.fandom.com/wiki/Yitzhak,Sabrina (1982)
118,Toreador,7th,Adreu La Torre,Anna Yusupova,https://whitewolf.fandom.com/wiki/Anna_Yusupova,
119,Toreador,,Lillie Langtry,Zane,https://whitewolf.fandom.com/wiki/Zane,
120,Toreador,11th,,Robert S. Ziegler,https://whitewolf.fandom.com/wiki/Robert_S._Ziegler,April Bosley (1999)
121,Toreador,7th,,Émeric de Sauveterre,https://whitewolf.fandom.com/wiki/%C3%89meric_de_Sauveterre,Laurette Morel (1790)
